"n","Country","State","Model","Error"
1,"BRA","AM","KNN",-70
2,"BRA","AM","KNN",-120
3,"BRA","AM","KNN",-175
4,"BRA","AM","KNN",-194
5,"BRA","AM","KNN",-174
6,"BRA","AM","KNN",-268
7,"BRA","AM","KNN",-88
8,"BRA","AM","KNN",-136
9,"BRA","AM","KNN",-222
10,"BRA","AM","KNN",-178
11,"BRA","AM","KNN",-140
12,"BRA","AM","KNN",-119
13,"BRA","AM","KNN",-105
14,"BRA","AM","KNN",-51
15,"BRA","AM","KNN",-149
16,"BRA","AM","KNN",-26
17,"BRA","AM","KNN",53
18,"BRA","AM","KNN",121
19,"BRA","AM","KNN",36
20,"BRA","AM","KNN",68
21,"BRA","AM","KNN",134
22,"BRA","AM","KNN",240
23,"BRA","AM","KNN",384
24,"BRA","AM","KNN",382
25,"BRA","AM","KNN",467
26,"BRA","AM","KNN",433
27,"BRA","AM","KNN",686
28,"BRA","AM","KNN",827
29,"BRA","AM","KNN",1084
30,"BRA","AM","KNN",1176
31,"BRA","AM","KNN",81
32,"BRA","AM","KNN",-14
33,"BRA","AM","KNN",26
34,"BRA","AM","KNN",4
35,"BRA","AM","KNN",92
36,"BRA","AM","KNN",169
37,"BRA","AM","KNN",100
38,"BRA","AM","KNN",100
39,"BRA","AM","KNN",379
40,"BRA","AM","KNN",718
41,"BRA","AM","KNN",1024
42,"BRA","AM","KNN",1535
43,"BRA","AM","KNN",2569
44,"BRA","AM","KNN",2036
45,"BRA","AM","KNN",2731
1,"BRA","AM","SVR",-79
2,"BRA","AM","SVR",-124
3,"BRA","AM","SVR",-189
4,"BRA","AM","SVR",-249
5,"BRA","AM","SVR",-315
6,"BRA","AM","SVR",-380
7,"BRA","AM","SVR",-73
8,"BRA","AM","SVR",-104
9,"BRA","AM","SVR",-163
10,"BRA","AM","SVR",-209
11,"BRA","AM","SVR",-269
12,"BRA","AM","SVR",-324
13,"BRA","AM","SVR",-62
14,"BRA","AM","SVR",-83
15,"BRA","AM","SVR",-121
16,"BRA","AM","SVR",-174
17,"BRA","AM","SVR",-221
18,"BRA","AM","SVR",-268
19,"BRA","AM","SVR",-51
20,"BRA","AM","SVR",-79
21,"BRA","AM","SVR",-102
22,"BRA","AM","SVR",-68
23,"BRA","AM","SVR",-31
24,"BRA","AM","SVR",-8
25,"BRA","AM","SVR",95
26,"BRA","AM","SVR",95
27,"BRA","AM","SVR",86
28,"BRA","AM","SVR",55
29,"BRA","AM","SVR",109
30,"BRA","AM","SVR",70
31,"BRA","AM","SVR",71
32,"BRA","AM","SVR",27
33,"BRA","AM","SVR",58
34,"BRA","AM","SVR",14
35,"BRA","AM","SVR",-42
36,"BRA","AM","SVR",-45
37,"BRA","AM","SVR",-40
38,"BRA","AM","SVR",-92
39,"BRA","AM","SVR",-54
40,"BRA","AM","SVR",252
41,"BRA","AM","SVR",364
42,"BRA","AM","SVR",615
43,"BRA","AM","SVR",606
44,"BRA","AM","SVR",488
45,"BRA","AM","SVR",671
1,"BRA","AM","CUBIST",-1
2,"BRA","AM","CUBIST",-2
3,"BRA","AM","CUBIST",-4
4,"BRA","AM","CUBIST",-11
5,"BRA","AM","CUBIST",-14
6,"BRA","AM","CUBIST",-14
7,"BRA","AM","CUBIST",2
8,"BRA","AM","CUBIST",8
9,"BRA","AM","CUBIST",6
10,"BRA","AM","CUBIST",14
11,"BRA","AM","CUBIST",16
12,"BRA","AM","CUBIST",14
13,"BRA","AM","CUBIST",-5
14,"BRA","AM","CUBIST",-1
15,"BRA","AM","CUBIST",2
16,"BRA","AM","CUBIST",-9
17,"BRA","AM","CUBIST",-9
18,"BRA","AM","CUBIST",-12
19,"BRA","AM","CUBIST",0
20,"BRA","AM","CUBIST",-3
21,"BRA","AM","CUBIST",-58
22,"BRA","AM","CUBIST",-53
23,"BRA","AM","CUBIST",-51
24,"BRA","AM","CUBIST",-66
25,"BRA","AM","CUBIST",43
26,"BRA","AM","CUBIST",34
27,"BRA","AM","CUBIST",15
28,"BRA","AM","CUBIST",3
29,"BRA","AM","CUBIST",36
30,"BRA","AM","CUBIST",-20
31,"BRA","AM","CUBIST",83
32,"BRA","AM","CUBIST",37
33,"BRA","AM","CUBIST",80
34,"BRA","AM","CUBIST",61
35,"BRA","AM","CUBIST",37
36,"BRA","AM","CUBIST",40
37,"BRA","AM","CUBIST",-26
38,"BRA","AM","CUBIST",-50
39,"BRA","AM","CUBIST",16
40,"BRA","AM","CUBIST",264
41,"BRA","AM","CUBIST",424
42,"BRA","AM","CUBIST",724
43,"BRA","AM","CUBIST",781
44,"BRA","AM","CUBIST",730
45,"BRA","AM","CUBIST",994
1,"BRA","AM","BRNN",-5
2,"BRA","AM","BRNN",0
3,"BRA","AM","BRNN",-2
4,"BRA","AM","BRNN",-10
5,"BRA","AM","BRNN",-10
6,"BRA","AM","BRNN",-8
7,"BRA","AM","BRNN",11
8,"BRA","AM","BRNN",24
9,"BRA","AM","BRNN",20
10,"BRA","AM","BRNN",34
11,"BRA","AM","BRNN",43
12,"BRA","AM","BRNN",45
13,"BRA","AM","BRNN",-11
14,"BRA","AM","BRNN",-9
15,"BRA","AM","BRNN",-12
16,"BRA","AM","BRNN",-32
17,"BRA","AM","BRNN",-44
18,"BRA","AM","BRNN",-58
19,"BRA","AM","BRNN",-9
20,"BRA","AM","BRNN",-28
21,"BRA","AM","BRNN",-40
22,"BRA","AM","BRNN",-8
23,"BRA","AM","BRNN",5
24,"BRA","AM","BRNN",3
25,"BRA","AM","BRNN",48
26,"BRA","AM","BRNN",29
27,"BRA","AM","BRNN",4
28,"BRA","AM","BRNN",-59
29,"BRA","AM","BRNN",-7
30,"BRA","AM","BRNN",-51
31,"BRA","AM","BRNN",83
32,"BRA","AM","BRNN",39
33,"BRA","AM","BRNN",84
34,"BRA","AM","BRNN",52
35,"BRA","AM","BRNN",34
36,"BRA","AM","BRNN",39
37,"BRA","AM","BRNN",-5
38,"BRA","AM","BRNN",-14
39,"BRA","AM","BRNN",28
40,"BRA","AM","BRNN",284
41,"BRA","AM","BRNN",393
42,"BRA","AM","BRNN",715
43,"BRA","AM","BRNN",844
44,"BRA","AM","BRNN",729
45,"BRA","AM","BRNN",1041
1,"BRA","AM","QRF",0
2,"BRA","AM","QRF",0
3,"BRA","AM","QRF",0
4,"BRA","AM","QRF",0
5,"BRA","AM","QRF",1
6,"BRA","AM","QRF",0
7,"BRA","AM","QRF",4
8,"BRA","AM","QRF",15
9,"BRA","AM","QRF",6
10,"BRA","AM","QRF",15
11,"BRA","AM","QRF",0
12,"BRA","AM","QRF",0
13,"BRA","AM","QRF",0
14,"BRA","AM","QRF",0
15,"BRA","AM","QRF",0
16,"BRA","AM","QRF",0
17,"BRA","AM","QRF",0
18,"BRA","AM","QRF",0
19,"BRA","AM","QRF",0
20,"BRA","AM","QRF",0
21,"BRA","AM","QRF",0
22,"BRA","AM","QRF",0
23,"BRA","AM","QRF",0
24,"BRA","AM","QRF",0
25,"BRA","AM","QRF",0
26,"BRA","AM","QRF",0
27,"BRA","AM","QRF",0
28,"BRA","AM","QRF",0
29,"BRA","AM","QRF",0
30,"BRA","AM","QRF",0
31,"BRA","AM","QRF",0
32,"BRA","AM","QRF",0
33,"BRA","AM","QRF",0
34,"BRA","AM","QRF",0
35,"BRA","AM","QRF",0
36,"BRA","AM","QRF",0
37,"BRA","AM","QRF",0
38,"BRA","AM","QRF",0
39,"BRA","AM","QRF",209
40,"BRA","AM","QRF",618
41,"BRA","AM","QRF",924
42,"BRA","AM","QRF",1365
43,"BRA","AM","QRF",1618
44,"BRA","AM","QRF",1658
45,"BRA","AM","QRF",2067
1,"BRA","CE","KNN",-173
2,"BRA","CE","KNN",-69
3,"BRA","CE","KNN",-25
4,"BRA","CE","KNN",-99
5,"BRA","CE","KNN",32
6,"BRA","CE","KNN",-95
7,"BRA","CE","KNN",-242
8,"BRA","CE","KNN",19
9,"BRA","CE","KNN",-78
10,"BRA","CE","KNN",10
11,"BRA","CE","KNN",123
12,"BRA","CE","KNN",176
13,"BRA","CE","KNN",123
14,"BRA","CE","KNN",-129
15,"BRA","CE","KNN",59
16,"BRA","CE","KNN",42
17,"BRA","CE","KNN",171
18,"BRA","CE","KNN",-19
19,"BRA","CE","KNN",439
20,"BRA","CE","KNN",241
21,"BRA","CE","KNN",182
22,"BRA","CE","KNN",388
23,"BRA","CE","KNN",282
24,"BRA","CE","KNN",-61
25,"BRA","CE","KNN",49
26,"BRA","CE","KNN",9
27,"BRA","CE","KNN",71
28,"BRA","CE","KNN",281
29,"BRA","CE","KNN",553
30,"BRA","CE","KNN",231
31,"BRA","CE","KNN",-30
32,"BRA","CE","KNN",378
33,"BRA","CE","KNN",180
34,"BRA","CE","KNN",359
35,"BRA","CE","KNN",647
36,"BRA","CE","KNN",773
37,"BRA","CE","KNN",1576
38,"BRA","CE","KNN",1654
39,"BRA","CE","KNN",2324
40,"BRA","CE","KNN",2793
41,"BRA","CE","KNN",3657
42,"BRA","CE","KNN",3952
1,"BRA","CE","SVR",-78
2,"BRA","CE","SVR",-128
3,"BRA","CE","SVR",-147
4,"BRA","CE","SVR",-210
5,"BRA","CE","SVR",-230
6,"BRA","CE","SVR",-264
7,"BRA","CE","SVR",-50
8,"BRA","CE","SVR",-89
9,"BRA","CE","SVR",-150
10,"BRA","CE","SVR",-182
11,"BRA","CE","SVR",-235
12,"BRA","CE","SVR",-291
13,"BRA","CE","SVR",-63
14,"BRA","CE","SVR",-153
15,"BRA","CE","SVR",-203
16,"BRA","CE","SVR",-204
17,"BRA","CE","SVR",-179
18,"BRA","CE","SVR",-205
19,"BRA","CE","SVR",85
20,"BRA","CE","SVR",92
21,"BRA","CE","SVR",116
22,"BRA","CE","SVR",230
23,"BRA","CE","SVR",174
24,"BRA","CE","SVR",118
25,"BRA","CE","SVR",-65
26,"BRA","CE","SVR",-105
27,"BRA","CE","SVR",-97
28,"BRA","CE","SVR",-88
29,"BRA","CE","SVR",-26
30,"BRA","CE","SVR",-70
31,"BRA","CE","SVR",117
32,"BRA","CE","SVR",150
33,"BRA","CE","SVR",263
34,"BRA","CE","SVR",222
35,"BRA","CE","SVR",227
36,"BRA","CE","SVR",360
37,"BRA","CE","SVR",443
38,"BRA","CE","SVR",500
39,"BRA","CE","SVR",720
40,"BRA","CE","SVR",1002
41,"BRA","CE","SVR",1235
42,"BRA","CE","SVR",975
1,"BRA","CE","CUBIST",-31
2,"BRA","CE","CUBIST",-76
3,"BRA","CE","CUBIST",-92
4,"BRA","CE","CUBIST",-88
5,"BRA","CE","CUBIST",-45
6,"BRA","CE","CUBIST",-38
7,"BRA","CE","CUBIST",-8
8,"BRA","CE","CUBIST",-25
9,"BRA","CE","CUBIST",-31
10,"BRA","CE","CUBIST",-20
11,"BRA","CE","CUBIST",-23
12,"BRA","CE","CUBIST",-39
13,"BRA","CE","CUBIST",-15
14,"BRA","CE","CUBIST",-100
15,"BRA","CE","CUBIST",-84
16,"BRA","CE","CUBIST",-67
17,"BRA","CE","CUBIST",-35
18,"BRA","CE","CUBIST",-48
19,"BRA","CE","CUBIST",64
20,"BRA","CE","CUBIST",42
21,"BRA","CE","CUBIST",62
22,"BRA","CE","CUBIST",148
23,"BRA","CE","CUBIST",83
24,"BRA","CE","CUBIST",26
25,"BRA","CE","CUBIST",-18
26,"BRA","CE","CUBIST",-76
27,"BRA","CE","CUBIST",-66
28,"BRA","CE","CUBIST",-63
29,"BRA","CE","CUBIST",-18
30,"BRA","CE","CUBIST",-57
31,"BRA","CE","CUBIST",58
32,"BRA","CE","CUBIST",77
33,"BRA","CE","CUBIST",81
34,"BRA","CE","CUBIST",79
35,"BRA","CE","CUBIST",34
36,"BRA","CE","CUBIST",57
37,"BRA","CE","CUBIST",250
38,"BRA","CE","CUBIST",260
39,"BRA","CE","CUBIST",324
40,"BRA","CE","CUBIST",478
41,"BRA","CE","CUBIST",580
42,"BRA","CE","CUBIST",139
1,"BRA","CE","BRNN",-56
2,"BRA","CE","BRNN",-119
3,"BRA","CE","BRNN",-155
4,"BRA","CE","BRNN",-160
5,"BRA","CE","BRNN",-120
6,"BRA","CE","BRNN",-110
7,"BRA","CE","BRNN",-4
8,"BRA","CE","BRNN",-28
9,"BRA","CE","BRNN",-46
10,"BRA","CE","BRNN",-48
11,"BRA","CE","BRNN",-44
12,"BRA","CE","BRNN",-49
13,"BRA","CE","BRNN",1
14,"BRA","CE","BRNN",-88
15,"BRA","CE","BRNN",-57
16,"BRA","CE","BRNN",-25
17,"BRA","CE","BRNN",45
18,"BRA","CE","BRNN",65
19,"BRA","CE","BRNN",79
20,"BRA","CE","BRNN",88
21,"BRA","CE","BRNN",140
22,"BRA","CE","BRNN",262
23,"BRA","CE","BRNN",221
24,"BRA","CE","BRNN",176
25,"BRA","CE","BRNN",-1
26,"BRA","CE","BRNN",-44
27,"BRA","CE","BRNN",-28
28,"BRA","CE","BRNN",-15
29,"BRA","CE","BRNN",54
30,"BRA","CE","BRNN",20
31,"BRA","CE","BRNN",44
32,"BRA","CE","BRNN",32
33,"BRA","CE","BRNN",5
34,"BRA","CE","BRNN",-8
35,"BRA","CE","BRNN",-66
36,"BRA","CE","BRNN",-26
37,"BRA","CE","BRNN",297
38,"BRA","CE","BRNN",431
39,"BRA","CE","BRNN",700
40,"BRA","CE","BRNN",1133
41,"BRA","CE","BRNN",1579
42,"BRA","CE","BRNN",1575
1,"BRA","CE","QRF",-5
2,"BRA","CE","QRF",-44
3,"BRA","CE","QRF",0
4,"BRA","CE","QRF",-41
5,"BRA","CE","QRF",-39
6,"BRA","CE","QRF",-21
7,"BRA","CE","QRF",0
8,"BRA","CE","QRF",0
9,"BRA","CE","QRF",0
10,"BRA","CE","QRF",0
11,"BRA","CE","QRF",0
12,"BRA","CE","QRF",0
13,"BRA","CE","QRF",0
14,"BRA","CE","QRF",0
15,"BRA","CE","QRF",0
16,"BRA","CE","QRF",0
17,"BRA","CE","QRF",0
18,"BRA","CE","QRF",0
19,"BRA","CE","QRF",0
20,"BRA","CE","QRF",0
21,"BRA","CE","QRF",0
22,"BRA","CE","QRF",0
23,"BRA","CE","QRF",0
24,"BRA","CE","QRF",0
25,"BRA","CE","QRF",0
26,"BRA","CE","QRF",0
27,"BRA","CE","QRF",0
28,"BRA","CE","QRF",0
29,"BRA","CE","QRF",0
30,"BRA","CE","QRF",0
31,"BRA","CE","QRF",0
32,"BRA","CE","QRF",0
33,"BRA","CE","QRF",0
34,"BRA","CE","QRF",0
35,"BRA","CE","QRF",0
36,"BRA","CE","QRF",434
37,"BRA","CE","QRF",1020
38,"BRA","CE","QRF",1439
39,"BRA","CE","QRF",1985
40,"BRA","CE","QRF",2578
41,"BRA","CE","QRF",3101
42,"BRA","CE","QRF",3303
1,"BRA","PE","KNN",-105
2,"BRA","PE","KNN",-462
3,"BRA","PE","KNN",-217
4,"BRA","PE","KNN",-28
5,"BRA","PE","KNN",-19
6,"BRA","PE","KNN",-19
7,"BRA","PE","KNN",-6
8,"BRA","PE","KNN",-3
9,"BRA","PE","KNN",14
10,"BRA","PE","KNN",40
11,"BRA","PE","KNN",84
12,"BRA","PE","KNN",-145
13,"BRA","PE","KNN",-123
14,"BRA","PE","KNN",6
15,"BRA","PE","KNN",-33
16,"BRA","PE","KNN",209
17,"BRA","PE","KNN",77
18,"BRA","PE","KNN",141
19,"BRA","PE","KNN",108
20,"BRA","PE","KNN",231
21,"BRA","PE","KNN",144
22,"BRA","PE","KNN",69
23,"BRA","PE","KNN",299
24,"BRA","PE","KNN",-290
25,"BRA","PE","KNN",171
26,"BRA","PE","KNN",437
27,"BRA","PE","KNN",71
28,"BRA","PE","KNN",289
29,"BRA","PE","KNN",588
30,"BRA","PE","KNN",932
31,"BRA","PE","KNN",1327
32,"BRA","PE","KNN",2640
33,"BRA","PE","KNN",2381
34,"BRA","PE","KNN",2841
35,"BRA","PE","KNN",3207
1,"BRA","PE","SVR",-84
2,"BRA","PE","SVR",-148
3,"BRA","PE","SVR",-218
4,"BRA","PE","SVR",-294
5,"BRA","PE","SVR",-376
6,"BRA","PE","SVR",-480
7,"BRA","PE","SVR",-101
8,"BRA","PE","SVR",-155
9,"BRA","PE","SVR",-235
10,"BRA","PE","SVR",-296
11,"BRA","PE","SVR",-348
12,"BRA","PE","SVR",-413
13,"BRA","PE","SVR",-59
14,"BRA","PE","SVR",4
15,"BRA","PE","SVR",-34
16,"BRA","PE","SVR",39
17,"BRA","PE","SVR",68
18,"BRA","PE","SVR",95
19,"BRA","PE","SVR",27
20,"BRA","PE","SVR",84
21,"BRA","PE","SVR",71
22,"BRA","PE","SVR",106
23,"BRA","PE","SVR",120
24,"BRA","PE","SVR",244
25,"BRA","PE","SVR",19
26,"BRA","PE","SVR",10
27,"BRA","PE","SVR",-20
28,"BRA","PE","SVR",-107
29,"BRA","PE","SVR",-37
30,"BRA","PE","SVR",-14
31,"BRA","PE","SVR",-12
32,"BRA","PE","SVR",69
33,"BRA","PE","SVR",10
34,"BRA","PE","SVR",-31
35,"BRA","PE","SVR",-193
1,"BRA","PE","CUBIST",1
2,"BRA","PE","CUBIST",0
3,"BRA","PE","CUBIST",5
4,"BRA","PE","CUBIST",11
5,"BRA","PE","CUBIST",11
6,"BRA","PE","CUBIST",8
7,"BRA","PE","CUBIST",0
8,"BRA","PE","CUBIST",-3
9,"BRA","PE","CUBIST",-6
10,"BRA","PE","CUBIST",8
11,"BRA","PE","CUBIST",29
12,"BRA","PE","CUBIST",31
13,"BRA","PE","CUBIST",-12
14,"BRA","PE","CUBIST",-8
15,"BRA","PE","CUBIST",-53
16,"BRA","PE","CUBIST",-27
17,"BRA","PE","CUBIST",-21
18,"BRA","PE","CUBIST",-28
19,"BRA","PE","CUBIST",-3
20,"BRA","PE","CUBIST",35
21,"BRA","PE","CUBIST",-3
22,"BRA","PE","CUBIST",16
23,"BRA","PE","CUBIST",21
24,"BRA","PE","CUBIST",123
25,"BRA","PE","CUBIST",4
26,"BRA","PE","CUBIST",-3
27,"BRA","PE","CUBIST",-32
28,"BRA","PE","CUBIST",-98
29,"BRA","PE","CUBIST",-26
30,"BRA","PE","CUBIST",-20
31,"BRA","PE","CUBIST",33
32,"BRA","PE","CUBIST",139
33,"BRA","PE","CUBIST",134
34,"BRA","PE","CUBIST",174
35,"BRA","PE","CUBIST",108
1,"BRA","PE","BRNN",-10
2,"BRA","PE","BRNN",-27
3,"BRA","PE","BRNN",-23
4,"BRA","PE","BRNN",-13
5,"BRA","PE","BRNN",-21
6,"BRA","PE","BRNN",-13
7,"BRA","PE","BRNN",-14
8,"BRA","PE","BRNN",-26
9,"BRA","PE","BRNN",-21
10,"BRA","PE","BRNN",-25
11,"BRA","PE","BRNN",-22
12,"BRA","PE","BRNN",-70
13,"BRA","PE","BRNN",-56
14,"BRA","PE","BRNN",7
15,"BRA","PE","BRNN",-14
16,"BRA","PE","BRNN",35
17,"BRA","PE","BRNN",43
18,"BRA","PE","BRNN",57
19,"BRA","PE","BRNN",8
20,"BRA","PE","BRNN",26
21,"BRA","PE","BRNN",-17
22,"BRA","PE","BRNN",-42
23,"BRA","PE","BRNN",-51
24,"BRA","PE","BRNN",5
25,"BRA","PE","BRNN",14
26,"BRA","PE","BRNN",27
27,"BRA","PE","BRNN",-20
28,"BRA","PE","BRNN",-46
29,"BRA","PE","BRNN",24
30,"BRA","PE","BRNN",38
31,"BRA","PE","BRNN",267
32,"BRA","PE","BRNN",669
33,"BRA","PE","BRNN",709
34,"BRA","PE","BRNN",1234
35,"BRA","PE","BRNN",1330
1,"BRA","PE","QRF",-2
2,"BRA","PE","QRF",0
3,"BRA","PE","QRF",0
4,"BRA","PE","QRF",0
5,"BRA","PE","QRF",0
6,"BRA","PE","QRF",0
7,"BRA","PE","QRF",0
8,"BRA","PE","QRF",0
9,"BRA","PE","QRF",0
10,"BRA","PE","QRF",0
11,"BRA","PE","QRF",0
12,"BRA","PE","QRF",0
13,"BRA","PE","QRF",0
14,"BRA","PE","QRF",0
15,"BRA","PE","QRF",0
16,"BRA","PE","QRF",0
17,"BRA","PE","QRF",0
18,"BRA","PE","QRF",0
19,"BRA","PE","QRF",0
20,"BRA","PE","QRF",0
21,"BRA","PE","QRF",0
22,"BRA","PE","QRF",0
23,"BRA","PE","QRF",0
24,"BRA","PE","QRF",0
25,"BRA","PE","QRF",0
26,"BRA","PE","QRF",0
27,"BRA","PE","QRF",0
28,"BRA","PE","QRF",0
29,"BRA","PE","QRF",390
30,"BRA","PE","QRF",696
31,"BRA","PE","QRF",1091
32,"BRA","PE","QRF",1599
33,"BRA","PE","QRF",1990
34,"BRA","PE","QRF",2450
35,"BRA","PE","QRF",2816
1,"BRA","RJ","KNN",-256
2,"BRA","RJ","KNN",-181
3,"BRA","RJ","KNN",-157
4,"BRA","RJ","KNN",-320
5,"BRA","RJ","KNN",-137
6,"BRA","RJ","KNN",-125
7,"BRA","RJ","KNN",-125
8,"BRA","RJ","KNN",-140
9,"BRA","RJ","KNN",-343
10,"BRA","RJ","KNN",-252
11,"BRA","RJ","KNN",-252
12,"BRA","RJ","KNN",-319
13,"BRA","RJ","KNN",43
14,"BRA","RJ","KNN",14
15,"BRA","RJ","KNN",-177
16,"BRA","RJ","KNN",-510
17,"BRA","RJ","KNN",-61
18,"BRA","RJ","KNN",11
19,"BRA","RJ","KNN",104
20,"BRA","RJ","KNN",163
21,"BRA","RJ","KNN",30
22,"BRA","RJ","KNN",325
23,"BRA","RJ","KNN",473
24,"BRA","RJ","KNN",502
25,"BRA","RJ","KNN",154
26,"BRA","RJ","KNN",213
27,"BRA","RJ","KNN",375
28,"BRA","RJ","KNN",707
29,"BRA","RJ","KNN",950
30,"BRA","RJ","KNN",931
31,"BRA","RJ","KNN",284
32,"BRA","RJ","KNN",497
33,"BRA","RJ","KNN",763
34,"BRA","RJ","KNN",1480
35,"BRA","RJ","KNN",1193
36,"BRA","RJ","KNN",1131
37,"BRA","RJ","KNN",-56
38,"BRA","RJ","KNN",310
39,"BRA","RJ","KNN",499
40,"BRA","RJ","KNN",362
41,"BRA","RJ","KNN",812
42,"BRA","RJ","KNN",872
43,"BRA","RJ","KNN",-452
44,"BRA","RJ","KNN",-320
45,"BRA","RJ","KNN",-96
46,"BRA","RJ","KNN",311
47,"BRA","RJ","KNN",557
48,"BRA","RJ","KNN",1177
49,"BRA","RJ","KNN",1287
50,"BRA","RJ","KNN",1872
51,"BRA","RJ","KNN",2116
52,"BRA","RJ","KNN",2988
53,"BRA","RJ","KNN",3548
1,"BRA","RJ","SVR",-173
2,"BRA","RJ","SVR",-258
3,"BRA","RJ","SVR",-380
4,"BRA","RJ","SVR",-473
5,"BRA","RJ","SVR",-588
6,"BRA","RJ","SVR",-685
7,"BRA","RJ","SVR",-139
8,"BRA","RJ","SVR",-202
9,"BRA","RJ","SVR",-295
10,"BRA","RJ","SVR",-367
11,"BRA","RJ","SVR",-453
12,"BRA","RJ","SVR",-484
13,"BRA","RJ","SVR",-120
14,"BRA","RJ","SVR",-181
15,"BRA","RJ","SVR",-222
16,"BRA","RJ","SVR",-246
17,"BRA","RJ","SVR",-326
18,"BRA","RJ","SVR",-365
19,"BRA","RJ","SVR",-79
20,"BRA","RJ","SVR",-145
21,"BRA","RJ","SVR",-210
22,"BRA","RJ","SVR",-257
23,"BRA","RJ","SVR",-344
24,"BRA","RJ","SVR",-395
25,"BRA","RJ","SVR",-79
26,"BRA","RJ","SVR",-54
27,"BRA","RJ","SVR",-19
28,"BRA","RJ","SVR",-49
29,"BRA","RJ","SVR",23
30,"BRA","RJ","SVR",-1
31,"BRA","RJ","SVR",-85
32,"BRA","RJ","SVR",7
33,"BRA","RJ","SVR",105
34,"BRA","RJ","SVR",221
35,"BRA","RJ","SVR",267
36,"BRA","RJ","SVR",221
37,"BRA","RJ","SVR",6
38,"BRA","RJ","SVR",176
39,"BRA","RJ","SVR",145
40,"BRA","RJ","SVR",285
41,"BRA","RJ","SVR",294
42,"BRA","RJ","SVR",475
43,"BRA","RJ","SVR",20
44,"BRA","RJ","SVR",-151
45,"BRA","RJ","SVR",-169
46,"BRA","RJ","SVR",-47
47,"BRA","RJ","SVR",-76
48,"BRA","RJ","SVR",318
49,"BRA","RJ","SVR",149
50,"BRA","RJ","SVR",395
51,"BRA","RJ","SVR",376
52,"BRA","RJ","SVR",901
53,"BRA","RJ","SVR",1136
1,"BRA","RJ","CUBIST",-13
2,"BRA","RJ","CUBIST",-16
3,"BRA","RJ","CUBIST",-24
4,"BRA","RJ","CUBIST",-38
5,"BRA","RJ","CUBIST",-40
6,"BRA","RJ","CUBIST",-30
7,"BRA","RJ","CUBIST",2
8,"BRA","RJ","CUBIST",0
9,"BRA","RJ","CUBIST",4
10,"BRA","RJ","CUBIST",2
11,"BRA","RJ","CUBIST",-1
12,"BRA","RJ","CUBIST",-9
13,"BRA","RJ","CUBIST",-2
14,"BRA","RJ","CUBIST",-16
15,"BRA","RJ","CUBIST",6
16,"BRA","RJ","CUBIST",-2
17,"BRA","RJ","CUBIST",-4
18,"BRA","RJ","CUBIST",10
19,"BRA","RJ","CUBIST",6
20,"BRA","RJ","CUBIST",6
21,"BRA","RJ","CUBIST",25
22,"BRA","RJ","CUBIST",30
23,"BRA","RJ","CUBIST",24
24,"BRA","RJ","CUBIST",25
25,"BRA","RJ","CUBIST",-45
26,"BRA","RJ","CUBIST",-26
27,"BRA","RJ","CUBIST",23
28,"BRA","RJ","CUBIST",15
29,"BRA","RJ","CUBIST",55
30,"BRA","RJ","CUBIST",87
31,"BRA","RJ","CUBIST",-56
32,"BRA","RJ","CUBIST",-63
33,"BRA","RJ","CUBIST",-51
34,"BRA","RJ","CUBIST",-34
35,"BRA","RJ","CUBIST",-24
36,"BRA","RJ","CUBIST",-114
37,"BRA","RJ","CUBIST",4
38,"BRA","RJ","CUBIST",120
39,"BRA","RJ","CUBIST",81
40,"BRA","RJ","CUBIST",137
41,"BRA","RJ","CUBIST",61
42,"BRA","RJ","CUBIST",174
43,"BRA","RJ","CUBIST",-30
44,"BRA","RJ","CUBIST",-129
45,"BRA","RJ","CUBIST",-153
46,"BRA","RJ","CUBIST",2
47,"BRA","RJ","CUBIST",-3
48,"BRA","RJ","CUBIST",365
49,"BRA","RJ","CUBIST",220
50,"BRA","RJ","CUBIST",473
51,"BRA","RJ","CUBIST",480
52,"BRA","RJ","CUBIST",1006
53,"BRA","RJ","CUBIST",1285
1,"BRA","RJ","BRNN",-36
2,"BRA","RJ","BRNN",-68
3,"BRA","RJ","BRNN",-108
4,"BRA","RJ","BRNN",-163
5,"BRA","RJ","BRNN",-199
6,"BRA","RJ","BRNN",-227
7,"BRA","RJ","BRNN",-25
8,"BRA","RJ","BRNN",-59
9,"BRA","RJ","BRNN",-90
10,"BRA","RJ","BRNN",-139
11,"BRA","RJ","BRNN",-184
12,"BRA","RJ","BRNN",-221
13,"BRA","RJ","BRNN",-43
14,"BRA","RJ","BRNN",-95
15,"BRA","RJ","BRNN",-111
16,"BRA","RJ","BRNN",-166
17,"BRA","RJ","BRNN",-202
18,"BRA","RJ","BRNN",-188
19,"BRA","RJ","BRNN",18
20,"BRA","RJ","BRNN",42
21,"BRA","RJ","BRNN",83
22,"BRA","RJ","BRNN",108
23,"BRA","RJ","BRNN",102
24,"BRA","RJ","BRNN",106
25,"BRA","RJ","BRNN",-34
26,"BRA","RJ","BRNN",-6
27,"BRA","RJ","BRNN",70
28,"BRA","RJ","BRNN",80
29,"BRA","RJ","BRNN",196
30,"BRA","RJ","BRNN",288
31,"BRA","RJ","BRNN",-51
32,"BRA","RJ","BRNN",68
33,"BRA","RJ","BRNN",201
34,"BRA","RJ","BRNN",317
35,"BRA","RJ","BRNN",403
36,"BRA","RJ","BRNN",386
