date;state;confirmed;tmax;tmin;prec
24/01/2020;Illinois;1;2,4571429;-0,5571429;70,932817
25/01/2020;Illinois;1;2,8241379;-0,3178571;50,380054
26/01/2020;Illinois;1;2,3382353;-3,2676471;7,346939
27/01/2020;Illinois;1;2,22307692;-3,224;0,2315522
28/01/2020;Illinois;1;0,1;-2,87878788;0,3415842
29/01/2020;Illinois;1;-0,2933333;-2,9233333;1,823232
30/01/2020;Illinois;1;0,6028571;-3,0470588;2,399491
31/01/2020;Illinois;2;2,2666667;-1,65;5,431169
01/02/2020;Illinois;2;3,8736842;-0,7236842;10,324873
02/02/2020;Illinois;2;7,805882353;0,191428571;0,08060453
03/02/2020;Illinois;2;14,475;0,811111111;0,01522843
04/02/2020;Illinois;2;11,0485714;0,2628571;10,682266
05/02/2020;Illinois;2;3,035294;-2,897059;17,21159
06/02/2020;Illinois;2;-0,2117647;-3,7058824;46,909091
07/02/2020;Illinois;2;0,85;-5,432143;5,15427
08/02/2020;Illinois;2;2,4032258;-4,9266667;5,305405
09/02/2020;Illinois;2;3,1725;-4,675;4,883905
10/02/2020;Illinois;2;4,907317;-3,255;84,96883
11/02/2020;Illinois;2;2,8;-3,4724138;1,897436
12/02/2020;Illinois;2;2,4352941;-4,1030303;3,612821
13/02/2020;Illinois;2;1,835294;-8,71875;89,63277
14/02/2020;Illinois;2;-6,3925926;-19,4185185;1,945504
15/02/2020;Illinois;2;-2,66875;-18,20645161;0,05526316
16/02/2020;Illinois;2;4,63333333;-6,72;0,1832461
17/02/2020;Illinois;2;6,1194444;-4,6685714;3,349869
18/02/2020;Illinois;2;6,7653061;-0,2510204;61,031553
19/02/2020;Illinois;2;2,779411765;-7,551428571;0,05555556
20/02/2020;Illinois;2;-0,5333333;-10,70303;0,007575758
21/02/2020;Illinois;2;-2,24285714;-12,35151515;0,1662469
22/02/2020;Illinois;2;4,79393939;-8,84242424;0,1873418
23/02/2020;Illinois;2;10,836111;-2,708824;0
24/02/2020;Illinois;2;11,623077;1,1;13,92346
25/02/2020;Illinois;2;5,769048;1,160465;46,1198
26/02/2020;Illinois;2;2,857895;-2,411765;45,64888
27/02/2020;Illinois;2;1,53125;-6,134375;4,024
28/02/2020;Illinois;2;2,70625;-5,99666667;0,2428941
29/02/2020;Illinois;2;2,01428571;-8,41388889;0,5113924
01/03/2020;Illinois;3;7,59677419;-6,93333333;0,1411192
02/03/2020;Illinois;4;15,5358974;0,6972222;38,007009
03/03/2020;Illinois;4;9,1189189;-0,2388889;13,259861
04/03/2020;Illinois;4;10,91052632;0,07837838;3,0185615
05/03/2020;Illinois;5;11,18064516;-0,913333333;0,03512881
06/03/2020;Illinois;5;11,46571429;-0,52941176;0,2740047
07/03/2020;Illinois;6;8,36875;-4,125806;0
08/03/2020;Illinois;7;14,13428571;-1,442857143;0,03529412
09/03/2020;Illinois;7;18,895833;4,431111;15,5573
10/03/2020;Illinois;12;13,081481;3,146296;193,12527
11/03/2020;Illinois;25;7,6577778;2,0847826;1,597315
12/03/2020;Illinois;32;10,4538462;2,6358974;2,844037
13/03/2020;Illinois;46;12,9404255;0,6553191;26,688341
14/03/2020;Illinois;64;8,4461538;0,5146341;15,52518
15/03/2020;Illinois;66;3,9411765;-0,7277778;47,509756
16/03/2020;Illinois;83;5,0114286;-0,8702703;2,187204
17/03/2020;Illinois;161;5,526;0,4755102;10,129103
18/03/2020;Illinois;272;9,5236842;1,6631579;4,574118
19/03/2020;Illinois;422;10,981481;4,916981;107,05983
